#3434343434ttttt
#intensity	time
5.878758312977067080e-01	2.000356400000002921e-02
9.510985336706437865e-01	4.000432899999983860e-02
9.510296990664106609e-01	6.000276199999987625e-02
5.877193211888943614e-01	8.000259399999976040e-02
-1.348371562811236861e-04	1.000042919999999391e-01
-5.878781947926123852e-01	1.200036569999998193e-01
-9.511401745567567012e-01	1.400086209999997777e-01
-9.510333210727170972e-01	1.600023889999997451e-01
-5.877050872849385321e-01	1.800031539999999985e-01
6.449689713095295472e-05	2.000020529999999574e-01
5.878568723289919751e-01	2.200028179999997668e-01
9.510912942316634977e-01	2.400035830000000203e-01
9.510052349668550731e-01	2.600052809999997550e-01
5.876552926076538119e-01	2.800051130000000832e-01
-3.458893442618320353e-04	3.000110099999999669e-01
-5.878473927235630114e-01	3.200024450000000797e-01
-9.510831419592714608e-01	3.400027429999998851e-01
-9.510269800482552549e-01	3.600030419999997733e-01
-5.876884893065018600e-01	3.800038070000000268e-01
1.436336156212144862e-04	4.000045719999998362e-01
5.878971788116308383e-01	4.200044039999997203e-01
9.510885768811275787e-01	4.400033030000001233e-01
9.509988921698405706e-01	4.600059339999997832e-01
5.876861254089060793e-01	4.800038999999998168e-01
-3.077818274023647483e-04	5.000097969999997005e-01
-5.881247839246431797e-01	5.200133609999997297e-01
-9.510894794378593753e-01	5.400033959999999134e-01
-9.510070512837031087e-01	5.600050940000000921e-01
-5.876718910807393614e-01	5.800044600000000550e-01
6.154380004679753206e-05	6.000019590000000846e-01
5.878900630191437049e-01	6.200041239999998233e-01
9.511175516912491190e-01	6.400062890000000060e-01
9.510242609565074945e-01	6.600033220000001144e-01
5.877050872849397534e-01	6.800031539999999985e-01
-2.403632516074025855e-04	7.000076509999999530e-01
-5.878805836963573173e-01	7.200037510000001362e-01
-9.511546555548046067e-01	7.400101139999999411e-01
-9.510278928696971334e-01	7.600029479999999005e-01
-5.877264380726543447e-01	7.800023139999998634e-01
8.205840002092258819e-05	8.000026120000001129e-01
5.879066579931027103e-01	8.200047769999998515e-01
9.510921967639516250e-01	8.400036759999998104e-01
9.510315149411249225e-01	8.600025749999997693e-01
5.877003595551695270e-01	8.800033400000000228e-01
-4.221043764031080867e-04	9.000134360000000555e-01
-5.878853106609669421e-01	9.200039369999997163e-01
-9.510885768811263574e-01	9.400033030000001233e-01
-9.510306118631488559e-01	9.600026680000000034e-01
-5.877098404123827224e-01	9.800029669999998916e-01
1.026044158791034890e-04	1.000003265999999780e+00
5.881721947369814574e-01	1.020015227000000024e+00
9.511075870863030524e-01	1.040005261999999764e+00
9.509163799458062449e-01	1.060014424999999871e+00
5.876837615062856512e-01	1.080003993000000051e+00
-1.201659187061185710e-04	1.100003824999999935e+00
-5.879256161138693981e-01	1.120005523000000114e+00
-9.510994458417114661e-01	1.140004422999999711e+00
-9.509472218400000232e-01	1.160011251999999882e+00
-5.876813721802653934e-01	1.180004086999999924e+00
2.696743101095404977e-04	1.200008583999999878e+00
5.879161370938520426e-01	1.220005149999999983e+00
9.510958165161810252e-01	1.240004048999999942e+00
9.510142967986181528e-01	1.260004347999999830e+00
5.875367067354110295e-01	1.280009777999999709e+00
-2.579561699154100788e-04	1.300008210999999747e+00
-5.881200325689057706e-01	1.320013174000000067e+00
-9.510786191034730219e-01	1.340002276999999964e+00
-9.509499430157791755e-01	1.360010971999999985e+00
-5.877240742555802644e-01	1.380002407000000098e+00
8.501149709408501397e-05	1.400002705999999986e+00
5.878734677977650591e-01	1.420003470999999795e+00
9.511157373724473674e-01	1.440006101999999899e+00
9.509717000568103096e-01	1.460008733000000003e+00
5.877098404123831665e-01	1.480002966999999892e+00
-1.319154751257401836e-04	1.500004198999999705e+00
-5.881129182014873669e-01	1.520012893999999726e+00
-9.510894794378568218e-01	1.540003395999999913e+00
-9.510070512837045520e-01	1.560005094000000092e+00
-5.876244589530316143e-01	1.580006325999999905e+00
1.055260970386519542e-04	1.600003359000000014e+00
5.879256161138660675e-01	1.620005523000000114e+00
9.510949140164494109e-01	1.640003955999999707e+00
9.510242609565068284e-01	1.660003322000000114e+00
5.876576565706885802e-01	1.680005019999999849e+00
-1.524300749489666048e-04	1.700004851999999733e+00
