Device: PMTC0000    Date: 18.01.2017
Name;ID;Reg ID;Menu;Type;User rights;Nonvolatile;Min value;Max value;Short name;Print format;Name;Value
PMTC0000;$1;$10;$0;u16;ArUrSr;;0;1023;Data;%u;Data;0
PMTC0000;$1;$11;$1;u8;AUS;;0;1;Power;[OFF,ON];PMT HV power supply;OFF
PMTC0000;$1;$12;$2;u16;AUS;NV;0;1600;SHV;%uV;Set PMT cathode voltage;700
PMTC0000;$1;$13;$3;u16;ArUrSr;;0;1600;MHV;%uV;Measured PMT cathode voltage;6
PMTC0000;$1;$14;$4;u16;AUS;NV;1;65535;GWns;%uns;Gate width ns;250
PMTC0000;$1;$15;$5;u16;AUS;NV;0;6553;GWus;%uus;Gate width us;0
PMTC0000;$1;$16;$6;u16;AUS;NV;20;5000;Rate;%uHz;Repetition rate;5000
PMTC0000;$1;$17;$7;u8;AUS;NV;0;2;M;[EXT SYNC,CAN SYNC,REPEAT];Sync mode;EXT SYNC
PMTC0000;$1;$FF;$10;;;;;;Test;;Test;
PMTC0000;$1;$18;$11;u16;AS;;0;4095;DI;%u;Delay generator current;3636
PMTC0000;$1;$19;$12;u8;AS;;1;15;KTh;%u;Comparator threshold;8
PMTC0000;$1;$1A;$13;u16;A;;0;3;SW;[Any,GATE OPENED,GATE CLOSED];SW state;Any
PMTC0000;$1;$FF;$20;;;;;;;a;Calibrate;
PMTC0000;$1;$1B;$21;u16;AS;NV;1;65535;MinGWns;%uns;Min gate width ns;50
PMTC0000;$1;$1C;$22;u16;A;NV;20;65535;MaxGWns;%uns;Max gate width ns;450
PMTC0000;$1;$1D;$23;u16;A;NV;1;1600;MaxHV;%uV;Max PMT cathode voltage;1250
PMTC0000;$1;$1E;$24;u16;A;NV;1;4000;CHV;%0.4f;Calibrate HV voltage;0.0085
PMTC0000;$1;$1F;$25;u16;A;NV;1;2000;CMHV;%1.2f;Calibrate HV meter;16.33
PMTC0000;$1;$20;$26;s16;A;NV;-1000;1000;Doff;%d;Delay offset;-1
PMTC0000;$1;$21;$27;u16;A;NV;0;100;Cdel;%u;Calibrate delay;100
PMTC0000;$1;$22;$28;u8;A;NV;0;255;Offset;%u;Calibrate offset;179
PMTC0000;$1;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Version PMT1K12B;110304
PMTC0000;$2;$10;$0;u16;ArUrSr;;0;1023;Data;%u;Data;0
PMTC0000;$2;$11;$1;u8;AUS;;0;1;Power;[OFF,ON];PMT HV power supply;OFF
PMTC0000;$2;$12;$2;u16;AUS;NV;0;1600;SHV;%uV;Set PMT cathode voltage;0
PMTC0000;$2;$13;$3;u16;ArUrSr;;0;1600;MHV;%uV;Measured PMT cathode voltage;6
PMTC0000;$2;$14;$4;u16;AUS;NV;1;65535;GWns;%uns;Gate width ns;250
PMTC0000;$2;$15;$5;u16;AUS;NV;0;6553;GWus;%uus;Gate width us;0
PMTC0000;$2;$16;$6;u16;AUS;NV;20;5000;Rate;%uHz;Repetition rate;5000
PMTC0000;$2;$17;$7;u8;AUS;NV;0;2;M;[EXT SYNC,CAN SYNC,REPEAT];Sync mode;EXT SYNC
PMTC0000;$2;$FF;$10;;;;;;Test;;Test;
PMTC0000;$2;$18;$11;u16;AS;;0;4095;DI;%u;Delay generator current;3704
PMTC0000;$2;$19;$12;u8;AS;;1;15;KTh;%u;Comparator threshold;8
PMTC0000;$2;$1A;$13;u16;A;;0;3;SW;[Any,GATE OPENED,GATE CLOSED];SW state;Any
PMTC0000;$2;$FF;$20;;;;;;;a;Calibrate;
PMTC0000;$2;$1B;$21;u16;AS;NV;1;65535;MinGWns;%uns;Min gate width ns;50
PMTC0000;$2;$1C;$22;u16;A;NV;20;65535;MaxGWns;%uns;Max gate width ns;450
PMTC0000;$2;$1D;$23;u16;A;NV;1;1600;MaxHV;%uV;Max PMT cathode voltage;1250
PMTC0000;$2;$1E;$24;u16;A;NV;1;4000;CHV;%0.4f;Calibrate HV voltage;0.0320
PMTC0000;$2;$1F;$25;u16;A;NV;1;2000;CMHV;%1.2f;Calibrate HV meter;15.47
PMTC0000;$2;$20;$26;s16;A;NV;-1000;1000;Doff;%d;Delay offset;8
PMTC0000;$2;$21;$27;u16;A;NV;0;100;Cdel;%u;Calibrate delay;8
PMTC0000;$2;$22;$28;u8;A;NV;0;255;Offset;%u;Calibrate offset;217
PMTC0000;$2;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Version PMT1K12B;110304
PHD1K000;$3;$18;$0;u16;ArUrSr;;0;65535;Data;%u;Data;0
PHD1K000;$3;$11;$1;float;ArUrSr;;0;9.99999968028569E37;Mean;%f#Dim;Mean;0
PHD1K000;$3;$12;$2;u16;ArUrSr;;0;1000;StdDev;%.1f%%;Standard deviation;0.0
PHD1K000;$3;$13;$3;float;ArUrSr;;0;9.99999968028569E37;Min;%f;Minimum;0
PHD1K000;$3;$14;$4;float;ArUrSr;;0;9.99999968028569E37;Max;%f;Maximum;0
PHD1K000;$3;$15;$5;u16;AUS;NV;10;65535;Batch;%upulses;Batch size;100
PHD1K000;$3;$16;$6;u8;AUS;NV;0;8;Atten;[/1,/2,/4,/8,/16,/32,/64,/128,/256];Attenuator position;/1
PHD1K000;$3;$FF;$10;;;;;;;;Acquisition mode;
PHD1K000;$3;$17;$11;u8;AS;NV;0;2;SyncM;[RISE,FALL,POLL];Sync mode;RISE
PHD1K000;$3;$FF;$20;;;;;;;;Calibrate;
PHD1K000;$3;$19;$21;u16;AS;NV;1;65535;GWns;%uns;Gate width ns;65535
PHD1K000;$3;$1A;$25;float;A;NV;1.17549435082229E-38;9.99999968028569E37;CalConst;%f;Calibrate constant;1
PHD1K000;$3;$1B;$26;str8;A;NV;0;0;Dim;%s;Format and dimension;ÿÿÿÿÿÿÿ
PHD1K000;$3;$1C;$27;u16;A;NV;1;3000;MaxRate;%uHz;Max sampling rate;1000
